"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"2548","187","766","151","1782","231","1400000US33015003500","Census Tract 35, Rockingham County, New Hampshire"
"2435","147","2035","201","400","166","1400000US33015003601","Census Tract 36.01, Rockingham County, New Hampshire"
"2005","92","1885","96","120","50","1400000US33015003602","Census Tract 36.02, Rockingham County, New Hampshire"
"1536","79","1334","91","202","82","1400000US33015003701","Census Tract 37.01, Rockingham County, New Hampshire"
"2137","114","1781","156","356","113","1400000US33015003703","Census Tract 37.03, Rockingham County, New Hampshire"
"1325","50","1286","55","39","29","1400000US33015003801","Census Tract 38.01, Rockingham County, New Hampshire"
"1449","61","1418","64","31","24","1400000US33015003802","Census Tract 38.02, Rockingham County, New Hampshire"
"1712","85","1091","95","621","109","1400000US33015003901","Census Tract 39.01, Rockingham County, New Hampshire"
"1179","49","1079","91","100","71","1400000US33015003902","Census Tract 39.02, Rockingham County, New Hampshire"
"1973","91","1819","147","154","88","1400000US33015004000","Census Tract 40, Rockingham County, New Hampshire"
"1537","80","1454","91","83","62","1400000US33015050000","Census Tract 500, Rockingham County, New Hampshire"
"1687","101","1642","95","45","45","1400000US33015051000","Census Tract 510, Rockingham County, New Hampshire"
"2229","137","2025","145","204","103","1400000US33015052000","Census Tract 520, Rockingham County, New Hampshire"
"1685","93","1430","117","255","107","1400000US33015053000","Census Tract 530, Rockingham County, New Hampshire"
"1764","77","1614","99","150","72","1400000US33015054000","Census Tract 540, Rockingham County, New Hampshire"
"2261","133","1812","199","449","163","1400000US33015055001","Census Tract 550.01, Rockingham County, New Hampshire"
"1851","130","1412","144","439","126","1400000US33015055002","Census Tract 550.02, Rockingham County, New Hampshire"
"1653","86","1453","121","200","79","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"1611","107","1460","120","151","72","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"1900","108","1767","119","133","66","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"2680","155","2288","170","392","148","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"1533","82","1400","110","133","73","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
"2764","143","1867","148","897","144","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"888","65","849","65","39","27","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
"1147","75","1024","59","123","41","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"1648","127","845","128","803","147","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"2176","156","1755","158","421","133","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"909","54","828","64","81","38","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"3387","147","2834","181","553","130","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"1221","116","876","96","345","109","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
