"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"544","58","420","52","286","61","134","51","87","46","47","21","124","41","102","35","22","16","1400000US33013032701","Census Tract 327.01, Merrimack County, New Hampshire"
"1525","74","1049","86","797","99","252","75","63","41","189","68","476","94","343","88","133","61","1400000US33013032706","Census Tract 327.06, Merrimack County, New Hampshire"
"1980","142","1458","129","1260","140","198","105","18","27","180","100","522","123","384","125","138","95","1400000US33013032800","Census Tract 328, Merrimack County, New Hampshire"
"2237","129","1137","173","668","124","469","153","40","54","429","154","1100","141","969","153","131","80","1400000US33013032900","Census Tract 329, Merrimack County, New Hampshire"
"969","55","776","46","647","53","129","46","41","27","88","50","193","60","128","55","65","40","1400000US33013033000","Census Tract 330, Merrimack County, New Hampshire"
"1787","124","1301","112","1084","116","217","77","82","56","135","59","486","125","313","101","173","65","1400000US33013034000","Census Tract 340, Merrimack County, New Hampshire"
"1675","159","993","110","795","159","198","100","126","85","72","52","682","161","553","157","129","72","1400000US33013035000","Census Tract 350, Merrimack County, New Hampshire"
"2050","174","1515","148","1393","137","122","93","55","54","67","72","535","149","367","135","168","103","1400000US33013036000","Census Tract 360, Merrimack County, New Hampshire"
"970","60","617","61","531","67","86","34","39","25","47","25","353","63","312","63","41","26","1400000US33013037000","Census Tract 370, Merrimack County, New Hampshire"
"1374","112","847","104","677","105","170","88","50","35","120","86","527","125","360","107","167","83","1400000US33013038000","Census Tract 380, Merrimack County, New Hampshire"
