"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1850","73","50","32","78","50","106","61","230","80","676","127","630","127","52","36","20","23","8","13","0","11","1400000US33011011101","Census Tract 111.01, Hillsborough County, New Hampshire"
"1908","65","0","11","9","14","94","44","194","87","448","101","943","136","132","72","88","73","0","11","0","11","1400000US33011011102","Census Tract 111.02, Hillsborough County, New Hampshire"
"3042","93","327","139","226","103","332","90","347","95","859","154","400","126","358","110","120","92","44","67","29","33","1400000US33011011200","Census Tract 112, Hillsborough County, New Hampshire"
"1513","35","11","15","0","11","0","11","8","13","296","67","437","90","691","91","46","30","9","13","15","22","1400000US33011011300","Census Tract 113, Hillsborough County, New Hampshire"
"2199","87","48","36","42","36","299","106","175","81","1076","163","286","110","104","82","88","61","15","25","66","81","1400000US33011011401","Census Tract 114.01, Hillsborough County, New Hampshire"
"1934","56","13","21","78","36","243","62","46","39","765","123","380","115","280","70","63","50","30","25","36","31","1400000US33011011402","Census Tract 114.02, Hillsborough County, New Hampshire"
"1134","27","63","42","53","36","110","44","78","39","212","74","328","80","253","66","19","21","9","14","9","13","1400000US33011011500","Census Tract 115, Hillsborough County, New Hampshire"
"3101","130","158","92","56","44","396","114","418","116","974","195","642","166","329","127","29","32","0","16","99","93","1400000US33011012100","Census Tract 121, Hillsborough County, New Hampshire"
"3141","118","54","43","30","26","100","54","167","82","868","184","475","163","607","157","182","91","193","133","465","155","1400000US33011012200","Census Tract 122, Hillsborough County, New Hampshire"
"3273","137","79","64","69","49","587","164","446","131","762","169","674","178","243","88","189","119","70","50","154","124","1400000US33011012300","Census Tract 123, Hillsborough County, New Hampshire"
"3108","136","65","38","58","45","568","140","706","168","635","163","825","192","76","56","113","96","16","25","46","54","1400000US33011013100","Census Tract 131, Hillsborough County, New Hampshire"
"2820","97","0","16","70","60","449","136","414","149","945","192","120","74","397","175","244","149","37","43","144","117","1400000US33011014100","Census Tract 141, Hillsborough County, New Hampshire"
"2105","52","0","16","55","54","268","121","380","149","488","119","550","128","155","83","59","47","26","32","124","71","1400000US33011014201","Census Tract 142.01, Hillsborough County, New Hampshire"
"2331","67","32","27","0","16","26","32","229","82","672","147","766","182","532","131","12","18","46","69","16","25","1400000US33011014202","Census Tract 142.02, Hillsborough County, New Hampshire"
"2822","69","16","27","0","16","226","103","420","142","715","165","937","183","303","128","32","36","101","60","72","69","1400000US33011014300","Census Tract 143, Hillsborough County, New Hampshire"
"1959","85","21","21","37","50","240","67","252","77","285","70","434","89","274","75","94","53","30","27","292","92","1400000US33011015100","Census Tract 151, Hillsborough County, New Hampshire"
"2320","97","0","16","30","33","225","112","322","101","403","125","665","132","447","139","54","48","53","50","121","74","1400000US33011015200","Census Tract 152, Hillsborough County, New Hampshire"
"1339","60","28","31","6","9","184","59","93","51","266","102","233","86","43","33","49","33","33","30","404","98","1400000US33011016100","Census Tract 161, Hillsborough County, New Hampshire"
"3348","154","38","32","84","87","313","90","239","105","929","262","335","172","322","169","217","98","148","120","723","212","1400000US33011016201","Census Tract 162.01, Hillsborough County, New Hampshire"
"1974","80","9","14","75","51","374","100","400","96","510","138","219","69","134","61","41","32","28","25","184","80","1400000US33011016202","Census Tract 162.02, Hillsborough County, New Hampshire"
"3006","131","22","35","49","41","352","109","600","130","704","179","518","187","216","138","126","84","15","24","404","182","1400000US33011017100","Census Tract 171, Hillsborough County, New Hampshire"
"1777","79","39","33","47","34","349","95","418","104","417","96","138","48","88","44","76","55","58","48","147","49","1400000US33011018000","Census Tract 180, Hillsborough County, New Hampshire"
"1009","52","0","11","8","12","132","65","40","39","214","79","151","44","40","23","41","24","18","15","365","91","1400000US33011018501","Census Tract 185.01, Hillsborough County, New Hampshire"
"631","30","21","19","3","5","128","33","69","24","162","36","85","26","20","11","34","18","7","7","102","29","1400000US33011018502","Census Tract 185.02, Hillsborough County, New Hampshire"
"1803","156","0","11","10","16","249","97","100","71","303","81","168","79","117","63","72","54","65","70","719","136","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"752","45","4","4","20","15","114","32","113","31","97","29","128","42","29","16","30","18","4","6","213","54","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"991","61","30","17","34","22","242","61","135","46","196","47","145","45","38","30","26","16","29","28","116","47","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"2015","123","57","34","84","50","513","135","414","125","535","145","167","98","75","42","30","28","9","16","131","64","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"3693","226","36","40","82","90","605","176","505","174","1155","263","529","193","97","65","194","131","66","76","424","151","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"2521","85","0","11","20","13","376","63","168","43","604","80","454","66","163","48","152","47","73","39","511","64","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"781","37","0","11","49","29","174","42","89","34","126","39","62","23","68","29","36","20","15","13","162","38","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"2834","145","61","43","45","45","618","149","241","91","742","182","166","57","258","128","88","46","69","52","546","125","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"3358","288","0","16","71","60","330","126","383","155","417","149","509","161","591","195","173","93","53","48","831","185","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"932","38","22","21","3","4","94","33","72","34","140","37","126","32","63","26","56","23","37","14","319","53","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"1297","101","10","11","0","11","104","41","67","38","205","69","223","68","271","70","15","14","44","29","358","72","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"3295","218","58","73","52","74","715","183","276","140","608","179","487","191","178","118","63","58","4","6","854","265","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"1733","90","69","50","75","59","230","74","301","83","347","94","270","90","304","85","72","56","8","14","57","39","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"1670","99","121","133","39","39","211","107","142","54","319","98","351","91","203","66","168","74","73","63","43","26","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"1686","98","48","41","50","40","373","106","151","66","135","66","333","92","262","94","152","78","32","30","150","79","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
