"B25096_001E","B25096_001M","B25096_002E","B25096_002M","B25096_003E","B25096_003M","B25096_004E","B25096_004M","B25096_005E","B25096_005M","B25096_006E","B25096_006M","B25096_007E","B25096_007M","B25096_008E","B25096_008M","B25096_009E","B25096_009M","B25096_010E","B25096_010M","B25096_011E","B25096_011M","B25096_012E","B25096_012M","B25096_013E","B25096_013M","B25096_014E","B25096_014M","B25096_015E","B25096_015M","B25096_016E","B25096_016M","B25096_017E","B25096_017M","B25096_018E","B25096_018M","B25096_019E","B25096_019M","B25096_020E","B25096_020M","B25096_021E","B25096_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $50,000","Margin of Error!!Total:!!With a mortgage:!!Less than $50,000","Estimate!!Total:!!With a mortgage:!!$50,000 to $99,999","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $99,999","Estimate!!Total:!!With a mortgage:!!$100,000 to $149,999","Margin of Error!!Total:!!With a mortgage:!!$100,000 to $149,999","Estimate!!Total:!!With a mortgage:!!$150,000 to $199,999","Margin of Error!!Total:!!With a mortgage:!!$150,000 to $199,999","Estimate!!Total:!!With a mortgage:!!$200,000 to $299,999","Margin of Error!!Total:!!With a mortgage:!!$200,000 to $299,999","Estimate!!Total:!!With a mortgage:!!$300,000 to $499,999","Margin of Error!!Total:!!With a mortgage:!!$300,000 to $499,999","Estimate!!Total:!!With a mortgage:!!$500,000 to $749,999","Margin of Error!!Total:!!With a mortgage:!!$500,000 to $749,999","Estimate!!Total:!!With a mortgage:!!$750,000 to $999,999","Margin of Error!!Total:!!With a mortgage:!!$750,000 to $999,999","Estimate!!Total:!!With a mortgage:!!$1,000,000 or more","Margin of Error!!Total:!!With a mortgage:!!$1,000,000 or more","Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $50,000","Margin of Error!!Total:!!Not mortgaged:!!Less than $50,000","Estimate!!Total:!!Not mortgaged:!!$50,000 to $99,999","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $99,999","Estimate!!Total:!!Not mortgaged:!!$100,000 to $149,999","Margin of Error!!Total:!!Not mortgaged:!!$100,000 to $149,999","Estimate!!Total:!!Not mortgaged:!!$150,000 to $199,999","Margin of Error!!Total:!!Not mortgaged:!!$150,000 to $199,999","Estimate!!Total:!!Not mortgaged:!!$200,000 to $299,999","Margin of Error!!Total:!!Not mortgaged:!!$200,000 to $299,999","Estimate!!Total:!!Not mortgaged:!!$300,000 to $499,999","Margin of Error!!Total:!!Not mortgaged:!!$300,000 to $499,999","Estimate!!Total:!!Not mortgaged:!!$500,000 to $749,999","Margin of Error!!Total:!!Not mortgaged:!!$500,000 to $749,999","Estimate!!Total:!!Not mortgaged:!!$750,000 to $999,999","Margin of Error!!Total:!!Not mortgaged:!!$750,000 to $999,999","Estimate!!Total:!!Not mortgaged:!!$1,000,000 or more","Margin of Error!!Total:!!Not mortgaged:!!$1,000,000 or more","id","Geographic Area Name"
"617","59","289","46","0","11","5","8","5","8","13","13","40","23","120","43","102","33","0","11","4","7","328","50","10","11","5","7","4","8","5","8","62","25","117","35","61","26","33","21","31","18","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"554","69","351","65","5","8","8","12","0","11","21","26","64","27","157","40","96","56","0","11","0","11","203","47","12","13","6","8","11","11","38","41","25","20","78","29","25","19","5","8","3","5","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"513","93","282","70","10","19","6","8","8","10","14","13","53","37","81","42","58","23","48","36","4","6","231","74","14","25","5","8","0","11","5","8","67","55","111","47","19","16","0","11","10","11","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"1612","123","957","117","17","19","33","26","17","20","55","48","139","76","271","74","270","80","73","44","82","39","655","128","73","47","118","86","27","24","9","14","7","12","176","75","120","65","45","35","80","46","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"2487","162","1693","174","19","30","10","16","15","22","113","91","158","96","840","179","397","118","117","66","24","33","794","167","11","17","10","17","25","29","17","27","173","86","316","123","207","90","35","44","0","16","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"1924","173","1523","153","4","6","0","16","37","42","88","56","565","146","610","125","210","53","7","7","2","5","401","102","25","32","13","21","0","16","0","16","126","61","180","65","51","30","6","9","0","16","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"757","111","544","108","9","14","8","12","64","44","75","53","191","65","141","83","56","40","0","11","0","11","213","56","8","12","0","11","34","29","19","18","67","32","54","34","19","16","12","18","0","11","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"854","104","551","111","0","11","0","11","0","11","15","23","27","32","111","60","192","68","138","66","68","48","303","81","0","11","0","11","0","11","0","11","28","34","18","28","145","65","25","29","87","73","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
"634","80","500","92","0","11","0","11","0","11","0","11","97","51","230","81","132","58","35","25","6","11","134","53","0","11","0","11","0","11","0","11","0","11","74","42","45","28","0","11","15","20","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"730","77","512","82","0","11","0","11","0","11","47","49","57","37","212","67","135","53","61","52","0","11","218","76","0","11","0","11","0","11","9","14","69","39","55","45","77","49","8","13","0","11","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"1004","107","620","97","8","12","0","11","5","10","0","11","11","14","109","51","190","59","131","65","166","75","384","77","3","6","9","13","8","9","2","4","15","13","21","19","111","48","77","45","138","47","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"1941","155","1043","172","0","16","0","16","0","16","21","33","0","16","142","69","429","152","213","82","238","105","898","166","0","16","0","16","20","31","0","16","50","47","158","84","303","115","86","62","281","105","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"2294","153","1596","217","0","16","14","23","70","85","105","77","293","155","780","152","238","118","96","73","0","16","698","176","110","120","44","42","0","16","17","28","100","94","362","151","57","46","0","16","8","14","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"1503","123","1049","133","0","16","0","16","0","16","37","32","562","149","363","125","54","39","33","45","0","16","454","118","0","16","0","16","0","16","37","35","193","83","210","85","0","16","14","22","0","16","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"1539","133","1056","147","24","27","0","11","10","16","81","49","387","114","478","108","48","30","20","21","8","13","483","114","39","32","28","26","26","27","36","29","90","52","254","89","0","11","0","11","10","15","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"1254","134","800","125","15","26","46","30","129","101","18","21","111","61","329","92","138","63","14","17","0","11","454","104","32","25","175","82","24","23","18","20","85","43","92","47","28","26","0","11","0","11","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"2416","200","1608","202","24","29","0","16","0","16","7","12","393","144","1001","177","183","92","0","16","0","16","808","136","45","38","0","16","0","16","19","29","347","127","341","98","45","44","0","16","11","17","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"2548","220","1959","205","11","18","28","34","135","85","265","99","589","166","813","175","105","87","13","21","0","16","589","172","46","72","14","21","30","35","69","47","124","69","249","127","57","54","0","16","0","16","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"1487","144","1180","146","0","11","7","11","20","22","76","57","339","79","708","123","30","27","0","11","0","11","307","91","10","16","20","20","0","11","54","32","91","45","132","67","0","11","0","11","0","11","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
"2551","169","1835","147","13","20","0","16","0","16","32","38","332","136","1094","169","269","128","78","65","17","27","716","139","13","21","0","16","0","16","12","19","237","96","319","118","114","83","21","33","0","16","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"1365","141","915","135","0","11","0","11","34","33","41","34","292","92","541","112","7","12","0","11","0","11","450","83","29","33","53","32","71","63","23","21","64","38","163","61","33","35","14","23","0","11","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"1424","113","1006","115","21","24","0","11","0","11","85","63","204","89","613","105","73","32","0","11","10","15","418","98","10","16","27","30","0","11","9","13","140","75","197","67","28","26","7","12","0","11","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"2031","186","1453","219","0","16","0","16","89","111","89","86","564","181","570","182","141","104","0","16","0","16","578","131","28","34","32","50","38","43","71","51","224","87","116","65","46","70","23","40","0","16","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"2479","159","1858","208","0","16","0","16","0","16","0","16","311","145","803","147","587","164","111","69","46","54","621","162","0","16","0","16","0","16","13","21","206","108","256","103","146","75","0","16","0","16","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"2326","151","1667","180","19","30","0","16","62","81","0","16","82","55","759","170","616","150","92","61","37","43","659","137","0","16","0","16","0","16","24","29","121","70","265","101","203","96","46","42","0","16","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
