"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.3840","0.0399","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"0.4140","0.0320","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"0.4523","0.0979","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"0.3494","0.0502","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"0.3725","0.0691","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"0.3882","0.0419","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"0.3802","0.0488","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"0.4080","0.0365","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
"0.3803","0.0349","1400000US33011002902","Census Tract 29.02, Hillsborough County, New Hampshire"
"0.3737","0.0266","1400000US33011002903","Census Tract 29.03, Hillsborough County, New Hampshire"
"0.4095","0.0453","1400000US33011010100","Census Tract 101, Hillsborough County, New Hampshire"
"0.3759","0.0347","1400000US33011010200","Census Tract 102, Hillsborough County, New Hampshire"
"0.4001","0.0363","1400000US33011010301","Census Tract 103.01, Hillsborough County, New Hampshire"
"0.4016","0.0382","1400000US33011010302","Census Tract 103.02, Hillsborough County, New Hampshire"
"0.4154","0.0419","1400000US33011010400","Census Tract 104, Hillsborough County, New Hampshire"
"0.4704","0.0556","1400000US33011010500","Census Tract 105, Hillsborough County, New Hampshire"
"0.3974","0.0717","1400000US33011010600","Census Tract 106, Hillsborough County, New Hampshire"
"0.5019","0.0475","1400000US33011010700","Census Tract 107, Hillsborough County, New Hampshire"
"0.5129","0.0605","1400000US33011010800","Census Tract 108, Hillsborough County, New Hampshire"
"0.3708","0.0421","1400000US33011010900","Census Tract 109, Hillsborough County, New Hampshire"
"0.4129","0.0674","1400000US33011011000","Census Tract 110, Hillsborough County, New Hampshire"
"0.3347","0.0369","1400000US33011011101","Census Tract 111.01, Hillsborough County, New Hampshire"
"0.3680","0.0407","1400000US33011011102","Census Tract 111.02, Hillsborough County, New Hampshire"
"0.4078","0.0502","1400000US33011011200","Census Tract 112, Hillsborough County, New Hampshire"
"0.3352","0.0581","1400000US33011011300","Census Tract 113, Hillsborough County, New Hampshire"
"0.4203","0.0358","1400000US33011011401","Census Tract 114.01, Hillsborough County, New Hampshire"
"0.4013","0.0496","1400000US33011011402","Census Tract 114.02, Hillsborough County, New Hampshire"
"0.4113","0.0456","1400000US33011011500","Census Tract 115, Hillsborough County, New Hampshire"
"0.3093","0.0260","1400000US33011012100","Census Tract 121, Hillsborough County, New Hampshire"
"0.4189","0.0405","1400000US33011012200","Census Tract 122, Hillsborough County, New Hampshire"
"0.3588","0.0580","1400000US33011012300","Census Tract 123, Hillsborough County, New Hampshire"
"0.3363","0.0289","1400000US33011013100","Census Tract 131, Hillsborough County, New Hampshire"
"0.4600","0.0553","1400000US33011014100","Census Tract 141, Hillsborough County, New Hampshire"
"0.3160","0.0346","1400000US33011014201","Census Tract 142.01, Hillsborough County, New Hampshire"
"0.3192","0.0384","1400000US33011014202","Census Tract 142.02, Hillsborough County, New Hampshire"
"0.3171","0.0316","1400000US33011014300","Census Tract 143, Hillsborough County, New Hampshire"
"0.4397","0.0681","1400000US33011015100","Census Tract 151, Hillsborough County, New Hampshire"
"0.3703","0.0410","1400000US33011015200","Census Tract 152, Hillsborough County, New Hampshire"
"0.3608","0.0392","1400000US33011016100","Census Tract 161, Hillsborough County, New Hampshire"
"0.4078","0.0390","1400000US33011016201","Census Tract 162.01, Hillsborough County, New Hampshire"
"0.3614","0.0361","1400000US33011016202","Census Tract 162.02, Hillsborough County, New Hampshire"
"0.4118","0.0404","1400000US33011017100","Census Tract 171, Hillsborough County, New Hampshire"
"0.3179","0.0467","1400000US33011018000","Census Tract 180, Hillsborough County, New Hampshire"
"0.3679","0.0334","1400000US33011018501","Census Tract 185.01, Hillsborough County, New Hampshire"
"0.3218","0.0305","1400000US33011018502","Census Tract 185.02, Hillsborough County, New Hampshire"
"0.3894","0.0714","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"0.3795","0.0441","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"0.3699","0.0307","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"0.3424","0.0291","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"0.3522","0.0397","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"0.4274","0.0327","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"0.3756","0.0409","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"0.3863","0.0296","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"0.4739","0.0432","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"0.4657","0.0669","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"0.3867","0.0397","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"0.3814","0.0484","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"0.3653","0.0376","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"0.3523","0.0372","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"0.3703","0.0440","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
"0.5183","0.0512","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"-","**","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"0.3463","0.0370","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"0.4503","0.0660","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"0.4042","0.0337","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"0.4123","0.0873","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"0.3781","0.0413","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"0.3822","0.0564","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"0.3555","0.0337","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"0.3240","0.0328","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
"0.4205","0.0487","1400000US33013032200","Census Tract 322, Merrimack County, New Hampshire"
"0.4950","0.0402","1400000US33013032300","Census Tract 323, Merrimack County, New Hampshire"
"0.4779","0.0378","1400000US33013032400","Census Tract 324, Merrimack County, New Hampshire"
"0.4664","0.0353","1400000US33013032500","Census Tract 325, Merrimack County, New Hampshire"
"0.3427","0.0406","1400000US33013032600","Census Tract 326, Merrimack County, New Hampshire"
"0.3397","0.0369","1400000US33013032701","Census Tract 327.01, Merrimack County, New Hampshire"
"0.3858","0.0509","1400000US33013032706","Census Tract 327.06, Merrimack County, New Hampshire"
"0.4005","0.0558","1400000US33013032800","Census Tract 328, Merrimack County, New Hampshire"
"0.4049","0.0444","1400000US33013032900","Census Tract 329, Merrimack County, New Hampshire"
"0.3651","0.0645","1400000US33013033000","Census Tract 330, Merrimack County, New Hampshire"
"0.4188","0.0561","1400000US33013034000","Census Tract 340, Merrimack County, New Hampshire"
"0.4149","0.0573","1400000US33013035000","Census Tract 350, Merrimack County, New Hampshire"
"0.3883","0.0453","1400000US33013036000","Census Tract 360, Merrimack County, New Hampshire"
"0.3964","0.0346","1400000US33013037000","Census Tract 370, Merrimack County, New Hampshire"
"0.3552","0.0494","1400000US33013038000","Census Tract 380, Merrimack County, New Hampshire"
"0.3943","0.0334","1400000US33013038500","Census Tract 385, Merrimack County, New Hampshire"
"0.3955","0.0348","1400000US33013039000","Census Tract 390, Merrimack County, New Hampshire"
"0.4110","0.0382","1400000US33013040000","Census Tract 400, Merrimack County, New Hampshire"
"0.3957","0.0246","1400000US33013040500","Census Tract 405, Merrimack County, New Hampshire"
"0.4663","0.0419","1400000US33013041000","Census Tract 410, Merrimack County, New Hampshire"
"0.4100","0.0265","1400000US33013041500","Census Tract 415, Merrimack County, New Hampshire"
"0.3602","0.0339","1400000US33013042500","Census Tract 425, Merrimack County, New Hampshire"
