"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"3215","172","12","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","8","12","40","28","52","45","7","11","696","139","34","38","107","59","406","125","373","111","1028","153","314","109","34","26","99","65","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"1782","180","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","14","0","11","40","35","28","21","10","14","395","97","38","34","133","55","244","100","198","70","401","81","197","67","68","60","14","13","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"3166","154","22","14","2","4","0","11","0","11","0","11","0","11","2","3","0","11","0","11","0","11","32","13","8","10","36","20","70","33","29","18","1040","108","105","30","152","46","449","68","300","55","589","84","240","77","59","23","31","16","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"3006","142","16","18","0","11","26","41","0","11","0","11","0","11","10","14","0","11","0","11","10","17","42","46","0","11","19","22","14","16","6","11","566","159","119","79","151","69","479","123","225","93","869","175","389","107","50","40","15","16","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"3983","182","22","18","5","10","0","16","0","16","0","16","4","6","0","16","0","16","2","3","0","16","13","16","40","23","39","17","41","19","36","15","910","99","124","29","227","45","470","69","383","67","997","119","508","66","87","32","75","26","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"3844","206","12","19","1","3","0","16","0","16","0","16","0","16","0","16","0","16","0","16","52","62","5","7","20","29","45","67","12","21","31","34","1157","297","278","193","302","152","432","158","427","173","625","194","375","143","58","48","12","17","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"3466","278","13","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","13","30","37","29","27","33","28","27","22","17","27","1037","205","161","100","231","84","453","121","371","112","721","169","252","93","49","37","33","29","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"2661","173","20","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","13","56","41","21","22","72","40","6","7","56","34","756","139","153","68","223","67","344","82","238","60","509","122","164","50","12","11","19","14","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"3252","164","11","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","9","25","29","50","39","20","16","49","39","11","12","1139","147","90","51","223","69","415","105","234","84","637","117","267","78","30","20","45","28","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"5680","242","26","42","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","61","75","35","42","97","75","69","59","25","31","1725","335","247","94","347","141","763","244","734","259","852","220","586","217","99","70","14","23","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"3919","260","13","20","0","16","0","16","0","16","0","16","0","16","66","102","0","16","4","10","0","16","47","62","15","23","79","67","20","25","0","16","572","196","90","64","209","104","607","214","420","139","939","249","592","218","102","64","144","79","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"3536","363","50","51","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","8","14","53","76","6","13","16","26","184","82","45","51","601","200","225","135","253","107","460","153","379","146","961","253","224","102","22","35","49","53","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"2267","204","21","24","0","11","0","11","0","11","14","23","0","11","0","11","0","11","0","11","0","11","39","37","14","17","25","32","38","29","6","10","542","214","102","52","66","39","293","92","192","75","521","122","264","91","90","46","40","38","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"1777","200","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","7","12","23","25","27","28","33","46","21","22","479","129","129","62","49","34","162","68","185","66","420","101","242","115","0","16","0","16","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"2882","201","1","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","36","39","43","33","26","26","30","57","54","597","153","55","37","166","67","286","100","192","75","787","179","346","109","142","68","132","74","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"3977","272","3","5","0","16","0","16","0","16","0","16","0","16","0","16","0","16","24","32","0","16","19","31","17","26","25","27","28","41","20","24","934","229","125","93","253","97","461","169","531","182","880","175","480","161","98","57","79","52","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"2909","202","68","46","0","11","0","11","0","11","9","15","0","11","0","11","0","11","6","9","0","11","18","21","56","62","6","13","84","58","69","42","1180","248","168","70","162","56","345","136","276","100","255","95","173","113","25","35","9","13","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"2866","212","31","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","12","8","13","64","48","60","55","77","53","104","88","67","41","1120","202","168","71","259","111","268","119","298","138","277","103","50","35","0","11","9","15","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"1708","130","3","5","0","11","0","11","0","11","0","11","3","4","0","11","13","19","8","11","19","25","25","21","28","33","49","27","48","34","19","12","603","107","79","27","125","49","283","60","138","41","159","40","81","27","9","9","16","18","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"1985","117","22","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","25","24","8","9","32","22","55","36","73","30","65","37","10","9","595","77","102","41","232","55","301","77","171","54","213","53","51","26","23","17","7","9","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"1447","83","4","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","11","13","9","39","19","26","14","13","8","526","63","73","18","75","24","195","43","164","38","193","41","97","30","6","5","2","4","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"2558","132","30","34","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","16","11","13","97","37","61","57","58","25","100","39","47","22","968","104","194","47","236","67","263","56","259","55","159","47","51","21","10","9","0","11","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"2300","146","34","35","0","11","4","8","0","11","0","11","0","11","0","11","4","8","32","36","0","11","27","25","7","11","12","14","35","36","18","23","747","132","81","54","197","79","282","84","289","75","248","85","211","81","44","35","28","40","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"3691","271","68","66","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","22","36","43","19","19","80","57","173","86","94","66","59","41","1062","187","735","180","340","126","471","152","184","68","204","90","132","64","6","10","10","16","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"2385","182","37","34","0","11","3","7","0","11","0","11","0","11","0","11","0","11","7","15","12","16","83","55","46","28","14","18","59","54","57","38","756","194","140","59","104","73","251","94","317","97","429","158","50","35","7","10","13","23","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"1805","178","0","11","0","11","8","14","0","11","0","11","2","4","0","11","8","12","17","19","10","16","146","91","0","11","80","54","61","47","12","16","689","131","162","116","94","50","165","86","224","97","99","52","18","19","10","15","0","11","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
"2435","106","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","14","0","11","19","18","49","44","21","20","34","40","54","31","641","139","108","48","210","81","250","88","372","102","443","106","163","67","46","36","14","12","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"1526","120","1","3","0","11","0","11","4","8","0","11","0","11","0","11","0","11","0","11","0","11","8","7","9","7","17","12","58","29","6","6","345","69","48","21","92","29","196","43","175","38","357","54","147","39","39","15","24","12","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"2464","151","6","8","0","11","0","11","0","11","5","8","0","11","0","11","0","11","11","25","7","9","40","39","17","14","75","46","27","29","54","33","730","121","90","41","194","68","302","84","291","74","413","88","128","48","31","19","43","37","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"4625","315","0","16","0","16","0","16","0","16","0","16","51","80","0","16","0","16","0","16","0","16","30","25","14","24","120","83","83","72","13","23","1075","292","160","102","351","176","1010","299","461","176","758","222","386","126","113","119","0","16","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"3475","209","16","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","21","11","14","59","48","2","5","18","13","691","135","75","47","164","73","539","108","480","100","834","112","447","94","86","32","35","20","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"3766","186","34","19","0","16","0","16","0","16","0","16","0","16","0","16","3","4","0","16","14","13","52","21","37","17","50","25","55","25","78","24","1179","125","182","51","233","44","403","60","252","48","779","104","322","72","70","28","23","11","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"2763","192","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","14","20","17","11","12","25","20","11","12","744","125","66","29","159","59","453","99","278","83","647","133","241","73","54","42","38","26","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"1882","228","3","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","12","25","23","47","33","34","14","41","42","31","16","513","110","104","36","95","31","257","70","232","64","351","87","109","34","13","10","18","17","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"3488","165","38","59","0","11","0","11","0","11","0","11","8","13","0","11","0","11","0","11","0","11","128","91","23","25","69","51","59","46","138","110","1101","206","148","90","186","83","481","272","301","117","450","181","247","116","75","61","36","38","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"2461","319","52","46","0","11","0","11","0","11","0","11","6","10","4","6","0","11","0","11","0","11","29","17","47","46","30","15","27","22","29","13","659","169","77","28","181","82","268","54","239","54","388","62","283","49","94","37","48","21","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"3539","319","3","5","47","66","0","11","0","11","0","11","0","11","0","11","4","6","46","71","0","11","43","33","94","96","15","19","39","29","104","85","881","208","146","89","132","60","342","95","347","134","702","170","301","106","236","159","57","39","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"2483","170","10","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","6","3","4","28","15","32","27","38","29","53","25","22","16","502","81","94","37","82","24","144","41","164","37","599","87","393","63","158","50","155","48","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"3947","282","30","58","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","91","106","1","3","5","7","65","83","2","5","32","52","1046","447","184","126","299","148","459","268","235","133","770","230","494","210","130","133","104","107","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"2925","262","5","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","35","0","11","15","14","22","15","72","63","8","12","5","7","759","165","177","94","275","103","464","128","216","84","427","107","261","70","116","62","75","51","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"3145","182","85","67","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","23","21","78","57","57","37","721","146","228","74","222","65","513","127","322","91","605","122","189","62","45","37","49","30","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"2674","176","30","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","3","4","33","21","14","11","37","20","47","20","46","25","848","116","193","47","219","52","262","51","287","54","389","67","218","63","22","17","16","12","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"2832","186","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","54","44","38","45","89","67","49","42","83","77","775","213","108","69","130","70","455","135","258","115","463","132","238","93","33","32","59","42","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"3511","298","2","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","21","39","41","26","42","50","40","15","24","695","243","207","144","254","127","404","159","421","122","674","172","424","160","144","104","143","82","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"2001","222","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","0","11","7","10","17","29","0","11","0","11","7","12","87","58","43","42","56","37","90","51","54","34","581","134","629","137","181","85","239","64","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"3592","362","16","27","0","16","30","56","0","16","0","16","0","16","0","16","0","16","0","16","36","53","27","43","8","17","1","2","7","17","19","40","185","97","20","28","12","21","151","116","84","58","1125","230","949","219","384","114","538","189","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"5978","475","34","43","0","16","0","16","0","16","0","16","0","16","0","16","0","16","23","34","0","16","50","72","40","31","229","150","96","94","104","76","859","187","97","70","208","98","504","188","405","127","1337","256","1221","310","332","120","439","158","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"4196","374","0","16","0","16","0","16","0","16","0","16","4","10","0","16","0","16","0","16","0","16","0","16","44","70","28","32","61","46","16","24","925","298","205","108","199","91","296","123","299","116","1090","264","652","196","209","137","168","106","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"2050","169","11","16","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","64","62","0","11","27","27","205","86","74","53","109","73","275","127","209","84","558","131","263","79","148","58","97","53","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"3335","207","0","16","0","16","0","16","0","16","0","16","11","16","0","16","0","16","0","16","0","16","19","22","33","39","0","16","8","13","9","14","408","90","79","44","177","60","406","109","267","95","1185","212","513","128","156","61","64","43","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
