"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"1287","134","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","9","6","8","19","24","0","11","18","15","202","61","60","35","59","29","188","53","140","59","322","75","131","50","110","37","25","21","1400000US33013032300","Census Tract 323, Merrimack County, New Hampshire"
"2373","187","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","19","13","18","46","32","11","18","411","130","133","79","117","69","382","113","346","148","471","125","261","107","126","60","43","39","1400000US33013032400","Census Tract 324, Merrimack County, New Hampshire"
"2800","437","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","10","10","21","18","28","9","14","38","27","0","11","482","371","36","32","86","51","219","98","404","205","619","121","452","110","302","90","121","65","1400000US33013032500","Census Tract 325, Merrimack County, New Hampshire"
"3317","254","3","8","0","11","0","11","0","11","0","11","0","11","0","11","6","8","33","29","49","43","16","20","83","49","104","61","178","77","28","28","518","129","510","118","163","61","534","125","274","87","559","149","217","80","33","29","9","17","1400000US33013032600","Census Tract 326, Merrimack County, New Hampshire"
"1032","104","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","9","28","24","0","11","0","11","248","75","39","37","42","27","123","47","173","56","242","61","101","42","20","17","10","11","1400000US33013032701","Census Tract 327.01, Merrimack County, New Hampshire"
"2836","190","14","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","24","34","32","9","15","22","23","44","56","51","40","616","169","125","94","172","61","357","97","344","93","719","122","270","80","20","23","23","28","1400000US33013032706","Census Tract 327.06, Merrimack County, New Hampshire"
"3618","264","13","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","92","101","123","120","0","16","0","16","18","28","13","20","491","202","79","57","71","55","594","201","349","117","921","162","586","177","215","113","53","49","1400000US33013032800","Census Tract 328, Merrimack County, New Hampshire"
"3355","255","156","119","0","11","0","11","0","11","0","11","0","11","0","11","27","25","46","59","3","6","53","57","9","14","4","8","53","57","33","30","870","218","114","60","211","136","501","181","328","177","493","179","273","135","105","82","76","71","1400000US33013032900","Census Tract 329, Merrimack County, New Hampshire"
"1901","76","11","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","20","19","18","39","32","14","15","18","21","548","97","80","28","117","44","192","70","309","79","370","73","142","52","24","26","6","9","1400000US33013033000","Census Tract 330, Merrimack County, New Hampshire"
"3463","161","5","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","56","41","41","48","38","42","52","41","45","34","975","157","190","81","218","103","391","113","320","90","620","147","314","98","183","177","8","12","1400000US33013034000","Census Tract 340, Merrimack County, New Hampshire"
"2910","172","12","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","49","52","46","46","103","69","66","60","47","34","984","191","334","122","109","63","341","92","295","101","330","112","152","77","27","23","15","19","1400000US33013035000","Census Tract 350, Merrimack County, New Hampshire"
"4151","276","0","16","23","38","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","38","51","30","46","0","16","38","36","45","32","1249","289","227","106","286","138","721","201","678","225","558","191","193","97","38","44","27","43","1400000US33013036000","Census Tract 360, Merrimack County, New Hampshire"
"1777","124","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","28","10","12","21","20","7","10","10","16","257","82","22","16","105","54","235","67","164","51","511","86","330","77","65","36","13","14","1400000US33013037000","Census Tract 370, Merrimack County, New Hampshire"
"2968","136","17","21","0","11","17","26","0","11","0","11","0","11","8","18","0","11","0","11","9","20","38","49","9","19","63","46","82","71","77","65","968","187","282","106","228","89","422","129","196","73","376","99","125","66","30","29","21","26","1400000US33013038000","Census Tract 380, Merrimack County, New Hampshire"
"3449","179","5","6","0","11","0","11","0","11","1","3","4","6","13","14","0","11","0","11","11","17","30","22","17","23","7","6","54","44","53","31","853","133","150","50","182","51","437","95","501","101","589","92","426","92","68","23","48","20","1400000US33013038500","Census Tract 385, Merrimack County, New Hampshire"
"4210","156","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","40","44","11","20","17","28","71","100","8","15","680","207","141","96","200","86","401","143","503","165","1010","205","837","193","209","92","82","58","1400000US33013039000","Census Tract 390, Merrimack County, New Hampshire"
"3076","207","20","32","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","34","13","21","43","45","0","11","631","170","41","42","190","90","362","160","366","122","738","159","499","164","101","73","51","47","1400000US33013040000","Census Tract 400, Merrimack County, New Hampshire"
"4143","178","5","8","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","8","8","62","35","12","10","49","28","683","108","87","40","218","53","473","84","483","98","1181","140","662","113","121","52","99","39","1400000US33013040500","Census Tract 405, Merrimack County, New Hampshire"
"2729","206","0","11","0","11","0","11","0","11","0","11","0","11","3","6","0","11","0","11","0","11","16","25","4","8","0","11","12","16","19","22","277","99","31","35","90","48","305","87","272","116","852","132","595","116","172","59","81","44","1400000US33013041000","Census Tract 410, Merrimack County, New Hampshire"
"2803","159","7","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","11","41","29","50","29","35","20","41","25","610","101","160","51","175","51","340","81","253","62","522","86","418","82","60","32","76","33","1400000US33013041500","Census Tract 415, Merrimack County, New Hampshire"
"2986","203","13","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","16","93","175","19","13","20","17","24","16","715","132","161","52","110","45","433","111","287","67","627","106","359","86","65","40","37","20","1400000US33013042500","Census Tract 425, Merrimack County, New Hampshire"
"3006","231","30","27","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","22","19","18","56","34","19","22","50","63","1111","243","259","112","190","85","227","76","466","162","459","131","65","38","30","37","8","12","1400000US33013043001","Census Tract 430.01, Merrimack County, New Hampshire"
"3431","225","18","27","0","11","0","11","0","11","0","11","0","11","10","16","0","11","0","11","43","38","65","60","28","26","84","66","23","24","99","71","1047","204","292","126","258","90","414","128","476","137","435","121","94","54","15","25","30","34","1400000US33013043002","Census Tract 430.02, Merrimack County, New Hampshire"
"3277","243","38","34","0","11","0","11","0","11","0","11","19","30","0","11","0","11","0","11","0","11","7","12","62","63","59","52","124","73","57","39","900","191","235","107","222","78","443","146","442","130","486","147","126","69","43","49","14","17","1400000US33013044000","Census Tract 440, Merrimack County, New Hampshire"
"2727","181","34","33","16","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","42","40","20","22","72","47","93","63","23","38","690","143","180","78","159","68","451","121","279","106","412","120","214","79","35","33","0","11","1400000US33013044100","Census Tract 441, Merrimack County, New Hampshire"
"4384","338","20","24","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","15","0","16","70","46","19","31","8","12","50","58","7","12","903","250","170","84","192","90","392","177","564","177","1008","229","852","250","120","97","0","16","1400000US33013044200","Census Tract 442, Merrimack County, New Hampshire"
"3238","183","8","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","60","50","10","14","65","52","138","79","23","25","675","146","215","92","139","69","493","111","290","86","686","155","343","101","78","63","15","16","1400000US33013044300","Census Tract 443, Merrimack County, New Hampshire"
"3088","170","18","20","0","11","0","11","7","10","0","11","0","11","0","11","0","11","12","17","0","11","0","11","43","52","11","14","0","11","42","40","614","158","165","72","212","86","411","121","265","95","909","187","255","92","6","10","118","88","1400000US33015003301","Census Tract 33.01, Rockingham County, New Hampshire"
"3242","205","43","39","0","16","0","16","0","16","9","16","0","16","0","16","9","13","0","16","9","15","45","43","33","30","54","49","31","29","28","27","737","156","143","70","359","116","459","135","369","117","694","184","171","84","10","17","39","50","1400000US33015003302","Census Tract 33.02, Rockingham County, New Hampshire"
"3834","328","5","10","0","16","0","16","4","10","0","16","0","16","0","16","0","16","9","15","11","17","17","23","57","76","79","60","60","51","60","48","1230","269","300","105","318","164","589","184","300","117","645","195","71","51","47","44","32","53","1400000US33015003400","Census Tract 34, Rockingham County, New Hampshire"
"4008","322","34","40","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","17","28","81","61","89","80","93","80","1214","330","146","91","271","119","523","173","558","180","724","214","222","121","36","58","0","16","1400000US33015003500","Census Tract 35, Rockingham County, New Hampshire"
"4734","294","13","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","55","52","118","116","15","27","1633","325","205","105","291","115","543","195","631","199","785","239","347","110","17","29","81","78","1400000US33015003601","Census Tract 36.01, Rockingham County, New Hampshire"
"4217","220","20","22","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","22","59","58","25","28","17","18","21","25","40","48","986","247","292","137","250","76","526","168","504","141","788","188","590","141","24","27","61","43","1400000US33015003602","Census Tract 36.02, Rockingham County, New Hampshire"
"2873","211","18","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","52","53","28","28","51","31","736","205","69","38","209","82","373","113","218","80","625","121","399","120","49","34","37","41","1400000US33015003701","Census Tract 37.01, Rockingham County, New Hampshire"
"3949","255","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","19","0","16","0","16","52","50","25","41","48","44","95","70","0","16","929","202","26","24","224","111","414","149","495","140","1044","215","432","116","126","74","27","27","1400000US33015003703","Census Tract 37.03, Rockingham County, New Hampshire"
"2646","112","0","11","8","14","0","11","0","11","0","11","28","41","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","20","0","11","490","138","68","49","205","67","241","90","196","75","883","158","441","93","45","36","23","28","1400000US33015003801","Census Tract 38.01, Rockingham County, New Hampshire"
"2876","153","0","11","0","11","0","11","0","11","0","11","0","11","6","10","0","11","0","11","0","11","0","11","7","12","0","11","2","4","10","16","543","131","82","43","167","65","484","116","255","95","966","146","231","76","88","52","35","31","1400000US33015003802","Census Tract 38.02, Rockingham County, New Hampshire"
"3153","159","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","14","22","14","23","87","63","30","29","633","142","170","81","232","91","523","157","346","99","687","175","329","109","32","30","49","33","1400000US33015003901","Census Tract 39.01, Rockingham County, New Hampshire"
"2269","158","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","21","29","32","0","11","5","10","16","17","206","85","68","42","139","67","415","147","231","70","736","174","349","94","37","34","24","27","1400000US33015003902","Census Tract 39.02, Rockingham County, New Hampshire"
"3946","203","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","17","26","8","14","10","17","0","16","57","48","786","199","149","76","189","72","495","129","440","118","1212","169","461","151","86","62","36","34","1400000US33015004000","Census Tract 40, Rockingham County, New Hampshire"
"2942","135","0","11","0","11","0","11","0","11","0","11","46","62","0","11","0","11","30","34","0","11","30","42","24","21","43","29","31","45","27","24","683","165","150","57","231","88","363","140","380","118","576","131","224","73","84","53","20","22","1400000US33015050000","Census Tract 500, Rockingham County, New Hampshire"
"3480","167","10","15","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","11","16","0","16","16","20","10","16","67","43","681","178","116","56","145","65","392","109","497","143","840","176","529","174","112","71","54","45","1400000US33015051000","Census Tract 510, Rockingham County, New Hampshire"
"4338","161","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","55","80","1","2","67","55","162","115","977","221","217","128","234","119","784","197","552","173","816","226","397","188","55","50","21","24","1400000US33015052000","Census Tract 520, Rockingham County, New Hampshire"
"3162","161","43","40","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","0","11","20","16","29","31","85","59","25","36","1048","183","52","39","191","83","464","151","352","86","644","120","168","67","24","25","8","12","1400000US33015053000","Census Tract 530, Rockingham County, New Hampshire"
"3470","113","15","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","47","4","8","0","11","61","45","53","38","791","174","71","41","234","94","389","95","572","127","803","143","355","99","71","66","22","29","1400000US33015054000","Census Tract 540, Rockingham County, New Hampshire"
"4360","251","18","27","0","16","0","16","0","16","0","16","0","16","0","16","0","16","16","26","0","16","30","35","40","42","67","58","15","25","61","53","1597","248","317","120","187","83","594","164","479","141","753","185","149","106","21","34","16","26","1400000US33015055001","Census Tract 550.01, Rockingham County, New Hampshire"
"3043","229","18","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","24","25","0","11","61","60","38","39","0","11","62","39","840","175","61","41","233","96","514","180","425","143","515","158","227","99","19","21","6","11","1400000US33015055002","Census Tract 550.02, Rockingham County, New Hampshire"
"3263","115","12","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","24","34","37","81","49","36","40","32","30","688","153","139","61","113","53","388","121","314","110","871","131","401","146","71","44","54","37","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"3166","155","48","45","0","11","0","11","0","11","0","11","0","11","28","46","0","11","0","11","0","11","32","27","51","48","25","25","53","35","26","25","882","161","134","61","189","74","335","98","289","85","701","147","324","123","49","61","0","11","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"3690","146","8","12","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","8","11","13","16","40","41","0","16","79","61","9","14","909","212","112","52","198","103","418","118","379","104","843","164","501","122","70","40","103","65","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"5253","190","20","35","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","15","24","71","70","55","82","94","88","91","64","90","65","1375","330","365","139","305","126","675","240","620","159","954","263","420","158","45","46","58","61","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"3329","112","0","11","0","11","0","11","2","4","0","11","0","11","0","11","10","14","0","11","24","28","41","36","32","30","46","35","43","26","8","13","498","133","117","59","162","74","401","125","323","103","1083","173","442","111","64","39","33","26","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
"4913","252","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","22","29","14","23","61","60","17","25","58","48","0","16","89","82","754","204","121","69","240","108","415","183","323","129","1663","277","829","197","166","80","141","73","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"1758","120","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","8","11","12","0","11","17","14","20","18","22","17","327","68","55","28","88","36","281","100","276","63","404","61","218","55","20","15","13","11","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
"2248","111","10","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","4","10","10","6","8","14","10","7","6","25","13","390","68","50","23","119","35","358","71","193","42","650","72","326","51","56","24","31","15","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"3033","263","24","27","10","16","13","22","0","11","0","11","0","11","0","11","0","11","10","16","0","11","21","22","50","34","65","52","25","26","45","44","1102","211","210","94","168","77","326","119","496","129","337","96","110","60","14","21","7","13","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"4049","234","31","36","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","115","107","96","72","86","75","23","29","62","50","1453","281","298","111","301","104","244","118","517","153","511","120","247","104","65","47","0","11","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"1796","130","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","9","0","11","16","17","17","24","14","15","331","85","5","9","39","27","169","86","223","79","630","100","246","64","54","30","45","28","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"6033","244","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","10","22","1","3","13","21","54","44","0","16","67","56","1094","236","104","59","290","106","780","192","482","151","1841","291","1014","234","205","93","78","45","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"2009","162","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","16","17","0","11","0","11","7","12","444","117","115","86","98","60","252","130","197","85","483","125","334","88","39","31","17","20","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
"1237","103","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","16","0","11","8","11","0","11","187","63","10","11","76","40","192","64","87","40","430","77","192","59","30","26","9","10","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"1280","113","16","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","7","0","11","0","11","17","18","213","58","25","31","63","32","195","64","92","42","378","94","184","50","76","54","16","16","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"1450","171","5","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","21","0","11","24","28","5","8","449","129","87","53","112","45","177","79","111","46","322","100","105","52","26","27","10","12","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"3430","183","4","10","0","11","0","11","13","21","0","11","0","11","0","11","0","11","0","11","0","11","8","14","22","26","0","11","18","21","23","23","616","153","46","35","160","71","509","122","262","105","1013","149","555","107","132","102","49","45","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"5403","185","53","45","0","16","0","16","0","16","0","16","0","16","0","16","15","25","22","33","0","16","1","4","11","19","39","46","2","4","17","28","655","216","52","51","212","84","643","226","517","140","1752","313","1119","246","109","70","184","109","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"5092","287","41","52","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","56","83","14","23","0","16","33","36","64","45","965","194","164","78","295","103","504","155","516","134","1662","259","627","168","62","29","89","52","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"2551","203","48","52","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","0","11","29","24","39","36","392","116","88","63","181","74","282","92","224","93","734","174","418","113","42","32","69","52","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"3405","248","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","30","34","42","84","90","0","11","1","3","13","22","348","155","57","35","78","49","289","98","107","60","1457","267","677","145","139","70","107","69","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
"2296","196","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1","3","0","11","0","11","103","48","25","20","152","62","302","136","184","77","923","194","442","102","87","55","77","52","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"1651","140","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","0","11","19","31","0","11","0","11","146","67","29","27","21","23","120","58","110","61","699","126","384","106","65","54","48","49","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"2604","201","9","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","32","4","10","9","14","19","22","4","9","0","11","17","26","400","108","15","17","153","67","305","104","140","60","775","176","503","109","149","64","81","50","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"4476","156","35","55","13","21","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","5","9","0","16","0","16","3","7","30","34","544","173","133","119","164","65","364","199","407","161","1739","290","742","192","196","95","101","61","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"4641","300","14","24","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","21","30","36","30","37","89","90","20","23","5","27","1207","303","125","94","276","93","714","228","403","183","1142","239","373","130","151","95","50","48","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"4107","267","21","31","0","16","0","16","0","16","0","16","14","23","0","16","0","16","0","16","0","16","20","31","44","46","33","37","64","100","109","84","1299","275","216","119","188","99","481","173","336","122","768","180","477","156","30","47","7","13","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"3359","229","16","18","0","11","0","11","0","11","0","11","0","11","0","11","9","14","14","23","0","11","0","11","0","11","35","46","28","26","21","27","1009","196","103","56","199","83","464","120","308","102","686","163","382","111","58","37","27","30","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"3426","200","47","45","0","11","0","11","0","11","0","11","37","47","0","11","0","11","56","73","7","12","5","11","7","12","74","96","58","66","40","32","525","152","178","141","314","112","460","120","407","100","752","147","296","131","109","81","54","40","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"5949","393","42","62","1","2","0","16","0","16","0","16","8","12","0","16","0","16","42","61","4","9","163","116","0","16","86","70","95","58","103","60","1642","349","135","64","235","104","521","172","460","179","1444","268","737","213","204","120","27","30","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"5739","236","16","26","0","16","0","16","0","16","0","16","9","17","0","16","0","16","0","16","0","16","0","16","32","37","20","29","0","16","79","93","1834","279","316","165","496","177","694","193","816","222","973","243","396","140","0","16","58","75","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"3577","172","33","29","11","17","0","11","0","11","0","11","0","11","9","14","0","11","0","11","0","11","25","24","63","62","17","20","0","11","45","42","1072","199","105","65","329","123","417","116","282","106","746","140","361","108","26","24","36","26","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
"5013","223","13","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","22","28","19","29","41","64","21","33","879","175","105","93","245","139","753","203","458","157","1425","228","806","207","144","79","82","52","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"3322","152","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","0","11","14","23","27","37","18","20","14","23","748","204","53","42","227","111","540","171","418","117","862","183","355","123","17","16","20","22","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"2848","169","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","42","10","16","0","11","21","23","0","11","35","26","557","167","32","32","197","106","317","93","274","89","895","156","408","106","56","42","17","19","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"4569","286","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","39","51","0","16","54","62","0","16","101","93","0","16","128","89","1097","272","126","76","475","186","704","252","218","98","1123","296","423","181","48","48","33","53","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"5197","264","28","31","0","16","0","16","0","16","0","16","0","16","0","16","0","16","19","31","0","16","0","16","11","17","31","31","49","45","65","55","545","172","53","50","236","120","553","273","779","253","1527","267","1118","245","133","83","50","43","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"4759","264","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","23","16","23","0","16","0","16","23","26","0","16","0","16","570","145","57","47","238","90","495","167","409","114","1741","262","896","210","229","118","71","72","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
"3149","242","38","30","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","22","55","88","66","87","92","111","32","29","873","202","199","97","239","119","465","120","175","87","441","144","387","130","47","41","26","24","1400000US33015106200","Census Tract 1062, Rockingham County, New Hampshire"
"3284","231","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","23","29","30","7","11","514","168","30","27","265","97","393","154","247","81","851","161","600","162","185","110","148","94","1400000US33015106400","Census Tract 1064, Rockingham County, New Hampshire"
"1728","164","20","24","0","11","0","11","0","11","0","11","0","11","0","11","19","29","28","40","0","11","9","13","8","13","28","26","73","69","54","54","361","84","33","34","99","57","137","71","144","76","466","117","135","52","74","70","40","44","1400000US33015107100","Census Tract 1071, Rockingham County, New Hampshire"
"4829","254","7","15","21","34","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","15","32","34","42","48","43","49","49","888","276","151","75","41","40","572","186","525","182","1472","267","790","197","110","82","106","68","1400000US33015107200","Census Tract 1072, Rockingham County, New Hampshire"
"842","72","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","0","11","0","11","0","11","15","19","0","11","0","11","205","58","16","14","33","21","91","35","70","30","244","51","145","43","12","12","2","5","1400000US33015107400","Census Tract 1074, Rockingham County, New Hampshire"
"3410","147","3","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","5","28","23","7","6","13","16","542","99","56","32","192","66","378","93","343","97","1174","144","509","119","77","49","85","49","1400000US33015107500","Census Tract 1075, Rockingham County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33015980011","Census Tract 9800.11, Rockingham County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33015990000","Census Tract 9900, Rockingham County, New Hampshire"
