"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school","id","Geographic Area Name"
"5585","518","1465","450","33","39","105","95","40","46","133","117","115","89","36","46","144","116","12","22","71","104","0","16","114","101","62","65","91","97","46","61","391","250","72","95","4120","400","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"5980","358","1467","226","80","47","79","68","107","62","82","54","76","58","44","40","27","24","107","73","111","72","44","44","52","42","49","50","31","35","148","108","339","152","91","72","4513","322","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"5191","368","1126","225","108","61","16","23","48","45","100","54","0","16","18","26","17","27","91","92","0","16","35","32","103","65","61","49","86","85","104","64","251","125","88","81","4065","315","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"1792","179","305","101","30","24","4","11","17","17","10","13","12","14","0","11","0","11","11","14","0","11","35","24","48","60","38","33","17","17","15","20","44","27","24","22","1487","187","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"2927","269","549","147","36","40","32","35","18","21","35","29","10","16","7","11","6","11","32","34","5","10","85","69","36","42","9","15","19","21","51","47","146","70","22","27","2378","215","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"2162","253","467","144","36","33","39","35","31","35","29","20","18","22","67","46","35","32","24","23","19","23","18","25","15","17","3","9","32","29","23","24","72","39","6","10","1695","186","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"2992","315","876","178","20","22","80","47","35","34","25","26","78","39","59","39","65","44","113","46","41","34","64","31","68","43","50","36","53","38","17","25","87","49","21","25","2116","234","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"4266","438","834","279","52","50","52","52","62","58","19","29","29","46","39","46","71","63","11","17","46","51","41","45","45","42","10","18","36","30","125","124","166","84","30","27","3432","434","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"2015","243","504","178","37","41","12","20","16","23","7","14","30","32","92","64","37","42","45","43","25","30","14","23","20","29","15","18","10","13","15","18","129","83","0","11","1511","187","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"5856","451","1555","375","178","147","87","56","132","84","70","71","77","80","38","38","151","122","31","37","71","58","44","69","107","80","124","105","73","79","29","30","241","154","102","94","4301","316","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"3526","488","656","259","104","83","5","18","49","61","36","43","0","11","25","39","33","39","37","46","21","21","21","28","59","45","36","48","11","19","15","30","49","53","155","176","2870","407","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"2137","279","462","138","38","31","22","24","18","23","24","28","36","30","20","20","17","18","51","36","46","31","20","28","0","11","0","11","24","28","63","46","83","56","0","11","1675","193","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"5111","454","1431","245","115","89","114","75","38","33","64","43","87","56","57","49","93","80","63","36","92","66","103","83","83","63","51","57","125","93","27","25","231","96","88","54","3680","319","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
